"locus_tag","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","product"
"SAOUHSC_00175",249.637886791743,-3.55301720328751,0.197206933567164,-18.0166951486898,1.44098533185675e-72,3.59791284964655e-71,NA,"multiple sugar-binding transport ATP-binding protein"
"SAOUHSC_00317",1702.22866194653,-1.71125879749361,0.0951436062212736,-17.9860619694588,2.50542395230762e-72,6.19048501549342e-71,NA,"glycerol-3-phosphate transporter"
"SAOUHSC_01081",588.263687061982,-1.80386218956462,0.100737756830211,-17.9065153555578,1.04900778138466e-71,2.51338026004487e-70,NA,"hypothetical protein"
"SAOUHSC_01833",2163.30566028237,-1.22844084007339,0.068602529510718,-17.9066405981643,1.04665056725662e-71,2.51338026004487e-70,NA,"D-3-phosphoglycerate dehydrogenase"
"SAOUHSC_00169",325.793414780367,-2.74207326302036,0.15363688234694,-17.8477538800107,3.00897132066839e-71,7.13727997262541e-70,NA,"peptide ABC transporter permease"
"SAOUHSC_00168",270.221291638356,-2.63994232198029,0.14839879254196,-17.7895134910471,8.52165579698984e-71,2.00132351984751e-69,NA,"hypothetical protein"
"SAOUHSC_02546",3445.61902701526,-1.18124617848742,0.0665891495421397,-17.7393191925343,2.08445183693725e-70,4.84737231099526e-69,NA,"molybdenum transport ATP-binding protein ModC"
"SAOUHSC_00895",7348.79137667873,-1.2342742625698,0.0702406034895758,-17.5720908029068,4.03040884071917e-69,9.28167938852997e-68,NA,"glutamate dehydrogenase"
"SAOUHSC_01395",5608.51344890039,-1.04223526935809,0.0596137698957735,-17.4831296725621,1.92630127339444e-68,4.39344867354963e-67,NA,"aspartate semialdehyde dehydrogenase"
"SAOUHSC_00698",1342.39912767442,-1.33330768629823,0.0765755834031627,-17.4116556093148,6.73089310732693e-68,1.50619608024335e-66,NA,"hypothetical protein"
"SAOUHSC_00808",1788.11380122641,-1.50252576655613,0.0863910705268927,-17.3921420048662,9.4630588169914e-68,2.09779210410314e-66,NA,"hypothetical protein"
"SAOUHSC_00608",100055.132381842,-1.27821079658422,0.0741144930466646,-17.2464351308377,1.19020163410136e-66,2.61403544082262e-65,NA,"alcohol dehydrogenase"
"SAOUHSC_01278",4779.15784090562,1.13050722677962,0.0660648511231393,17.1120831661673,1.20607750922213e-65,2.62460169896779e-64,NA,"aerobic glycerol-3-phosphate dehydrogenase"
"SAOUHSC_00703",890.703590094711,1.47861092901061,0.0866916395146253,17.0559806838255,3.15532579776125e-65,6.80402981117245e-64,NA,"quinolone resistance protein NorA"
"SAOUHSC_01170",2016.42681452619,-1.30153827132742,0.0763820595129411,-17.0398425968981,4.15849263382152e-65,8.88643651119337e-64,"carB","carbamoyl phosphate synthase large subunit"
"SAOUHSC_01849",559.312514896443,-2.28997265993244,0.134680932826638,-17.0029462364958,7.80943875896223e-65,1.65392756573736e-63,NA,"acetoin utilization protein AcuC"
"SAOUHSC_02733",5023.9972608196,-1.26942602847288,0.074692797273883,-16.9952937204662,8.89835337642522e-65,1.86786674414873e-63,NA,"hypothetical protein"
"SAOUHSC_00232",3099.75982489989,-1.53842542996379,0.0908754034595517,-16.9289529553344,2.75232437861232e-64,5.72676616321792e-63,NA,"murein hydrolase regulator LrgA"
"SAOUHSC_02853",12127.1407446454,-1.32650769018933,0.07856528186486,-16.8841460082973,5.88618862378323e-64,1.21409038396642e-62,NA,"hypothetical protein"
"SAOUHSC_02820",377.09563556781,2.06122249777139,0.122877457406351,16.7746187240432,3.74253468007712e-63,7.58742928302814e-62,NA,"hypothetical protein"
"SAOUHSC_01014",1820.95642285522,-1.41406275240572,0.0846655303749008,-16.7017527220844,1.27270611757798e-62,2.53685622764284e-61,NA,"amidophosphoribosyltransferase"
"SAOUHSC_00171",523.705708204248,-1.77046028739257,0.106068505731334,-16.6916680421336,1.50700788196845e-62,2.97885224669098e-61,NA,"gamma-glutamyltranspeptidase"
"SAOUHSC_02773",2990.50501201824,-1.06294957584889,0.0637516462608123,-16.6732882708674,2.05000092586827e-62,4.0186795009583e-61,NA,"transporter"
"SAOUHSC_01707",350.014622052925,-2.24296330489027,0.13473089046153,-16.6477286478761,3.14306941877496e-62,6.11095136174935e-61,NA,"hypothetical protein"
"SAOUHSC_02809",602.717011192485,-2.42879030422659,0.146620986714781,-16.5650931605806,1.24587025651426e-61,2.40260508004214e-60,NA,"gluconate operon transcriptional repressor"
"SAOUHSC_00295",310.280439093381,-2.72124923062457,0.164334669938069,-16.5591912628668,1.37428851398453e-61,2.62888093158976e-60,NA,"N-acetylneuraminate lyase"
"SAOUHSC_02590",4682.32959568503,-1.20457477640952,0.0731386977621549,-16.4697323478026,6.05376256659379e-61,1.14876198463684e-59,NA,"hypothetical protein"
"SAOUHSC_01321",1368.31831603535,-1.27385578195974,0.0776239468807868,-16.4106030825268,1.60602219960164e-60,3.02340052178975e-59,NA,"threonine synthase"
"SAOUHSC_02968",1721.27618167995,-1.29465458753186,0.0789114429695485,-16.4064239457827,1.7204513953327e-60,3.21331551947178e-59,NA,"ornithine carbamoyltransferase"
"SAOUHSC_00812",4578.51126355251,-1.21356442445029,0.0740002790022191,-16.3994574184497,1.92953654568005e-60,3.57567241121334e-59,NA,"clumping factor"
"SAOUHSC_02525",7428.42087262192,-1.07047223736513,0.065694851492117,-16.2946138556014,1.07782240534953e-59,1.95159904235808e-58,NA,"hypothetical protein"
"SAOUHSC_02678",494.677958157126,-1.93959606280319,0.119396087715898,-16.2450554277662,2.42122493277875e-59,4.35086783375091e-58,NA,"respiratory nitrate reductase subunit gamma"
"SAOUHSC_01264",377.667657245856,2.21977587886284,0.136918374289843,16.2124031224895,4.12133036560636e-59,7.35022227610397e-58,NA,"hypothetical protein"
"SAOUHSC_00564",1586.06966945172,1.20672571150888,0.0753331714459589,16.0185173190876,9.48859110943612e-58,1.67962224713302e-56,NA,"uracil-DNA glycosylase"
"SAOUHSC_02376",1277.68926355692,-1.2284513479978,0.0769498766259466,-15.9643056215581,2.26548905597003e-57,3.98054817834142e-56,NA,"hypothetical protein"
"SAOUHSC_01013",2197.62177821938,-1.15332604324322,0.0725071362032659,-15.9063797528838,5.72284580723884e-57,9.98131636380185e-56,NA,"phosphoribosylformylglycinamidine synthase II"
"SAOUHSC_01835",2065.31384755797,-1.19683496224827,0.0754562261421195,-15.8613148767084,1.17409755636578e-56,2.03281708299242e-55,NA,"hypothetical protein"
"SAOUHSC_00221",2101.72707503814,-1.15160644833681,0.0727066404334101,-15.8390821178367,1.67244258967372e-56,2.87466219036672e-55,NA,"alcohol dehydrogenase"
"SAOUHSC_01794",1131.35253080717,-1.67570826556223,0.105986457628995,-15.8105884756337,2.62998684807795e-56,4.4880063335546e-55,NA,"glyceraldehyde 3-phosphate dehydrogenase 2"
"SAOUHSC_02430",1591.17922443794,1.48230678410052,0.0938942212974192,15.7869862875285,3.82419116135024e-56,6.47927245337341e-55,NA,"ABC transporter substrate-binding protein"
"SAOUHSC_01055",2210.938170624,-1.09494453695669,0.0696651412001195,-15.7172513841803,1.15214614345182e-55,1.93822032075725e-54,NA,"inositol monophosphatase family protein"
"SAOUHSC_03024",507.673421454104,1.64518412928914,0.104723169243132,15.7098390086875,1.2950756174332e-55,2.16332349616306e-54,NA,"hypothetical protein"
"SAOUHSC_02652",4842.36524379848,1.22530609580014,0.0782027140995206,15.6683321021418,2.49028961237292e-55,4.13074612625774e-54,NA,"hypothetical protein"
"SAOUHSC_00367",15535.0630476496,-1.16871393586941,0.0746327338547755,-15.6595353741638,2.85978795987869e-55,4.71070627835573e-54,NA,"hypothetical protein"
"SAOUHSC_01418",11990.6383973487,-1.12125870743207,0.0717056532222057,-15.6369638521728,4.07708868471798e-55,6.63294806044498e-54,"sucA","2-oxoglutarate dehydrogenase E1 component"
"SAOUHSC_02742",1300.49533006266,-1.36329061242813,0.0871843299097947,-15.6368766478869,4.08267460718789e-55,6.63294806044498e-54,NA,"amino acid transporter"
"SAOUHSC_00200",861.591914264871,-1.49025296948329,0.0953298231101505,-15.6325997559164,4.36619428991337e-55,7.04531486780579e-54,NA,"hypothetical protein"
"SAOUHSC_02679",717.955686614317,-2.0862312633324,0.135002017892226,-15.4533339271851,7.16400813036561e-54,1.14817751927211e-52,NA,"respiratory nitrate reductase subunit delta"
"SAOUHSC_01709",280.455720331469,-2.19352941655108,0.142123512715645,-15.4339656728004,9.67388492230278e-54,1.54003053930887e-52,NA,"acetyl-CoA carboxylase biotin carboxylase"
"SAOUHSC_01007",2689.89964832314,-1.0280841082359,0.0667396005599391,-15.4044090706323,1.52880249932536e-53,2.4175463522665e-52,NA,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase"
"SAOUHSC_00146",15853.1479295681,-1.19232774679314,0.0777605195348785,-15.333330511743,4.57894378446034e-53,7.19288387863571e-52,NA,"hypothetical protein"
"SAOUHSC_00199",464.636314426021,-1.91705098065783,0.125029163840752,-15.3328305314395,4.61433116587057e-53,7.20078521410855e-52,NA,"acyl CoA:acetate/3-ketoacid CoA transferase"
"SAOUHSC_01016",1008.71611963401,-1.67503599162923,0.109705929601132,-15.2684180127667,1.24148490599444e-52,1.91220921884338e-51,NA,"phosphoribosylglycinamide formyltransferase"
"SAOUHSC_01105",6042.51729960507,-1.03849020970725,0.0682090880881538,-15.2251003321596,2.40988634728997e-52,3.68790349404633e-51,"sdhB","succinate dehydrogenase iron-sulfur subunit"
"SAOUHSC_00712",2041.27678203415,1.11315831144785,0.0731548920769213,15.2164575716602,2.75025094898268e-52,4.18179182755571e-51,NA,"hypothetical protein"
"SAOUHSC_02377",1884.98098038683,-1.4827119451658,0.0975694682304188,-15.1964745945345,3.73170639861494e-52,5.63796660988194e-51,NA,"pyrimidine-nucleoside phosphorylase"
"SAOUHSC_01910",1144.34452094142,-1.8957259657318,0.124786228475642,-15.1917882997949,4.00833362024203e-52,6.01757427038867e-51,NA,"phosphoenolpyruvate carboxykinase"
"SAOUHSC_01322",1416.11585158348,-1.31443003185372,0.0868526157715848,-15.1340292998263,9.65954788075159e-52,1.44103443856244e-50,NA,"homoserine kinase"
"SAOUHSC_03006",1908.76116768559,-3.31066029670539,0.221491265245365,-14.9471370486682,1.6259034289621e-50,2.41040183343632e-49,NA,"lipase"
